id,board,agency,title,primary,secondary,ei_reason,labeler
70f7aa1f73b4,BKCB1,NYC Health + Hospitals,Allocatte funding for programs that address Health Concerns.,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
957010359df8,BKCB1,Department of Buildings,Assign additional building inspectors (including expanding training programs),Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
8ef3d754c55a,BKCB1,Department of Transportation,Audit of Street Light,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
f2d99a9fd95e,BKCB1,Department of Environmental Protection,Clean catch basins,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
e808e21b7871,BKCB1,Department of Transportation,Comprehensive Street Redesign,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
f2cb5a0a3af6,BKCB1,Department of Transportation,Comprehensive Street Redesign,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
f53076859f61,BKCB1,NYC Health + Hospitals,Domestic Violence Services,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
a4714b875448,BKCB1,Department of Parks & Recreation,Enhance park safety through more security staff (police or parks enforcement),Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
1e3e8d25dcd7,BKCB1,Brooklyn Public Library,Extend library hours or expand and enhance library programs,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
3fef420039db,BKCB1,Department of Parks & Recreation,Frances Steinberg Park Playground,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
18ff427de595,BKCB1,Department of Parks & Recreation,Frances Steinberg Park's Restroom,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
4cfe8f36b462,BKCB1,Housing Preservation & Development,"Fund construction & rehabilitation of subsidized/affordable housing, including waterfront",Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
2f03a52e95ac,BKCB1,Office of Management & Budget,Funding for Domestic Violence Programs,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
165ce37845fe,BKCB1,Department for the Aging,Funding for a new senior center program,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
c3809fa48a5b,BKCB1,Police Department,Hire additional crossing guards,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
52a03553b62e,BKCB1,Department of Parks & Recreation,"Improve access to a park or amenity (i.e. playground, outdoor athletic field)",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
bd133696e453,BKCB1,Department of Parks & Recreation,Improve pathways in parks.,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
dcc3f119540f,BKCB1,Department of Parks & Recreation,Improvement for McGolrick Park's Grounds Infrastructure and Play Areas.,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
eed1e8efa106,BKCB1,Dept. of Health & Mental Hygiene,Increase Staffing of Outreach Programs,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
e5ff5ae06280,BKCB1,Department of Parks & Recreation,Increase funding for Tree Prunning,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
f95b926b4091,BKCB1,Department for the Aging,Increase home delivered meals capacity,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
b67d545b77a8,BKCB1,Department of Parks & Recreation,Increase park maintenance funds.,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
0d376f928049,BKCB1,Dept. of Health & Mental Hygiene,Increase reimbursement rate for NYC from 20% to 36%.,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
1633281151d1,BKCB1,Department of Environmental Protection,Increasing discharge into the East River should not be an option,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
4e9e8d8aba69,BKCB1,Department of Environmental Protection,Increasing discharge into the East River should not be an option.,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
ced075dd347e,BKCB1,NYC Health + Hospitals,Infant care services.,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
0b64a26f6a8f,BKCB1,Department of Transportation,Install Speed Cameras,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
853d7f17ce90,BKCB1,Department of Environmental Protection,Lack of Catch Basins,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
d0c349ffde76,BKCB1,Department of Homeless Services,Mental Health Programs for the Homeless,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
3ef519d189a9,BKCB1,Department of Education,Other capital budget request for DOE,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
cad094277a98,BKCB1,Department of Education,Other capital budget request for DOE,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
2eeee9dab464,BKCB1,Department of Environmental Protection,Other expense budget request for DEP,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
c3946ed3d627,BKCB1,Housing Preservation & Development,Other expense budget request for HPD,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
eecd0773f71c,BKCB1,Housing Preservation & Development,Other expense budget request for HPD,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
d505a5a8c020,BKCB1,Housing Preservation & Development,Other expense budget request for HPD,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
9eb80b5164e8,BKCB1,Department of Parks & Recreation,Other park programming requests,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
7a8baea41a1d,BKCB1,Dept. of Health & Mental Hygiene,Programs for Women's Physical and Emotional Health Concerns.,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
b938d9bbb524,BKCB1,Dept. of Health & Mental Hygiene,Programs to address Women's Health Issues,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
43c741625c87,BKCB1,Department of Parks & Recreation,"Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
755f1ee381c2,BKCB1,Department of Parks & Recreation,"Provide a new, or new expansion to, a building in a park",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
954856b1f068,BKCB1,Police Department,Provide additional officers to the Q-Team,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
f7528a28cd86,BKCB1,Department of Education,Provide funding for Air Conditioners,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
06b8c7a734da,BKCB1,Department of Education,Provide more funds for teaching resources such as classroom material,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
2fa5c10099e3,BKCB1,Housing Preservation & Development,Provide more housing for medium income households,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
9f8ec4cd9097,BKCB1,Housing Preservation & Development,Provide more housing for medium income households,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
9d08a06282ea,BKCB1,Fire Department,Provide new facilities such as a firehouse or EMS station,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
4b29b786a321,BKCB1,Department of Sanitation,Provide or expand community composting programs,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
00dfb314bded,BKCB1,Police Department,Provide surveillance (Argus) cameras,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
25d37a290247,BKCB1,Youth & Community Development,"Provide, expand, or enhance after school programs for elementary school students",Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
9b608381c68a,BKCB1,Housing Preservation & Development,"Provide, expand, or enhance rental subsidies programs",Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
9658fee7c559,BKCB1,Department of Parks & Recreation,Reconstruct or upgrade a building in a park,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
cffd2a7ead3f,BKCB1,Department of Parks & Recreation,Reconstruct or upgrade a building in a park,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
c463c3bc92e8,BKCB1,Department of Parks & Recreation,Reconstruct or upgrade a building in a park,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
7cbed7622f20,BKCB1,Department of Parks & Recreation,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
5d67ad2c6400,BKCB1,Department of Parks & Recreation,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
fd07d29477d9,BKCB1,Department of Parks & Recreation,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
9d126cb37af7,BKCB1,Department of Transportation,Redesign and Reconstruct Broadway from Bedford Avenue to Flushing Avenue.,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
e39fe0f9e711,BKCB1,Department of Transportation,Redesign and Reconstruct Bushwick Avenue from Flushing Avenue to Kingsland Avenue.,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
deeb9caae406,BKCB1,Department of Transportation,Redesign and Reconstruct Driggs Avenue from North 12th Street to Meeker Avenue.,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
ac1847c71b51,BKCB1,Department of Transportation,Redesign and Reconstruct Graham Avenue from Meeker to Broadway,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
2b729998bd19,BKCB1,Department of Transportation,Redesign and Reconstruct Greenpoint Avenue from McGuinness Boulevard across the,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
ee877bdd9928,BKCB1,Department of Transportation,Redesign and Reconstruct Kingsland Avenue from Maspeth Avenue to Meeker Avenue,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
38e9f8ed0283,BKCB1,Department of Transportation,Redesign and Reconstruct Lorimer Street from the Bedford Slip/Manhattan Avenue to,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
783e4aab63bf,BKCB1,Department of Transportation,Redesign and Reconstruct Metropolitan Avenue from Varick Avenue to River Street,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
22b8487e0fb5,BKCB1,Department of Transportation,Redesign and Reconstruct Morgan Avenue from Meeker Avenue to Johnson Avenue.,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
ed3ce74dc108,BKCB1,Department of Transportation,Redesign and Reconstruct Union Avenue from Meeker Avenue to Broadway.,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
054089996e3b,BKCB1,NYC Housing Authority,Renovate or upgrade NYCHA community facilities or open space,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
c355447c4b79,BKCB1,MTA / NYC Transit,Repair and Upgrade Subway Infrastructure,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
569f9ffc3a58,BKCB1,Small Business Services,Request a study on Economic Development,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
8ed293affe5f,BKCB1,Small Business Services,Request for a economic evitalizaiton and visioning study.,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
a02058802bdc,BKCB1,Department of Transportation,Safety and Access around Schools and,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
38ec4f889f75,BKCB1,Department of Transportation,Safety redesign,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
423e39a3de3d,BKCB1,Department of Transportation,Sidewalk Repairs,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
d06c9eb27cdb,BKCB1,Department of Transportation,Sidewalk repairs,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
d1b1da58cb74,BKCB1,Department of Transportation,Slip Lanes,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
e953b0d2b986,BKCB1,Small Business Services,Support of the Plaza Project at Moore Street Market,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
82302654d35f,BKCB1,NYC Housing Authority,Taylor White Houses Playground,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
478cffcc819d,BKCB1,Department of Transportation,Traffic and Pedestrian Safetly,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
4a7068044efc,BKCB1,Dept. of Health & Mental Hygiene,Trap- Neuter-Return Feral Cats Care,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
01760a047a35,BKCB1,Department of Parks & Recreation,Tree & Sidewalks Program,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
6ac16c8ad237,BKCB1,Office of Management & Budget,We Strongly Recommend that Boards' Community Board Budgets be Increased.,Engagement and Inclusion,,recommends increasing community boards' own overall budgets,"claude-sonnet, rubric.md, 2026-09-23"
1547db7d1d89,BKCB1,Dept. of Health & Mental Hygiene,fund a comprehensive studyd of Environmental Health Hazards,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
60f8417dc19e,BKCB10,Department of Environmental Protection,10th Avenue Sewer Upgrade,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
8912cb50c472,BKCB10,Department of Parks & Recreation,Construct New Terrace Overlook,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
bae61f86d5ff,BKCB10,Department of Parks & Recreation,Dan Ross Playground Reconstruction,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
b4d9f2d3c71f,BKCB10,Department of Transportation,District Wide Curb Contract,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
a3e72b3e3d66,BKCB10,Department of Parks & Recreation,District Wide Tree and Sidewalk Contract,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
209b71d26fc8,BKCB10,Department of Environmental Protection,Drainage Study to Address Recurring Sewage BackUps,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
dbe954a9ca18,BKCB10,Department of Parks & Recreation,Dyker Beach Park at Bay 8th Street Comfort Station Refurbish,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
0dae1a99d909,BKCB10,Department of Parks & Recreation,Dyker Beach Playground at 14th Avenue Refurbish,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
e2b6eb79f7b4,BKCB10,Department of Parks & Recreation,Dyker Beach Playground at Bay 8th Street Refurbish,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
b22e6d214599,BKCB10,Brooklyn Public Library,Dyker Branch Brooklyn Public Library Upgrade,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
1d31d62b99c1,BKCB10,Department of Transportation,Engineering Drainage Study for Belt Parkway,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
b14c4f6141c8,BKCB10,Department of Parks & Recreation,Engineering Study of Shore Road Promenade Infrastructure,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
8c66eb3512fb,BKCB10,Brooklyn Public Library,Extend library hours or expand and enhance library programs,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
d039b9cbb219,BKCB10,Department of Parks & Recreation,Hire Gardeners for Local Parks,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
0262a248f67f,BKCB10,Police Department,Hire additional crossing guards,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
3e23d0214fc2,BKCB10,Police Department,Hire additional school safety agents,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
db281269bfc5,BKCB10,Police Department,Hire additional traffic enforcement agents,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
