board,council_district,share
BKCB1,34,0.532
BKCB1,33,0.468
BKCB10,47,0.546
BKCB10,50,0.211
BKCB10,38,0.184
BKCB10,43,0.058
BKCB11,43,0.532
BKCB11,47,0.172
BKCB11,38,0.146
BKCB11,44,0.089
BKCB11,50,0.062
BKCB12,44,0.603
BKCB12,39,0.206
BKCB12,38,0.074
BKCB12,43,0.061
BKCB12,40,0.049
BKCB13,47,0.744
BKCB13,48,0.242
BKCB13,43,0.014
BKCB14,45,0.392
BKCB14,40,0.354
BKCB14,44,0.152
BKCB14,48,0.094
BKCB15,48,0.614
BKCB15,46,0.22
BKCB15,44,0.133
BKCB15,47,0.024
BKCB16,41,0.691
BKCB16,37,0.158
BKCB16,42,0.151
BKCB17,45,0.505
BKCB17,41,0.209
BKCB17,40,0.176
BKCB17,42,0.11
BKCB18,46,0.75
BKCB18,45,0.159
BKCB18,42,0.091
BKCB2,33,0.523
BKCB2,35,0.44
BKCB2,39,0.021
BKCB2,1,0.016
BKCB3,36,0.756
BKCB3,41,0.154
BKCB3,33,0.09
BKCB4,37,0.723
BKCB4,34,0.277
BKCB5,42,0.666
BKCB5,37,0.334
BKCB6,39,0.655
BKCB6,38,0.329
BKCB6,1,0.013
BKCB7,38,0.775
BKCB7,39,0.162
BKCB7,43,0.053
BKCB8,35,0.499
BKCB8,36,0.354
BKCB8,41,0.144
BKCB9,40,0.494
BKCB9,35,0.393
BKCB9,41,0.112
BXCB1,8,0.757
BXCB1,17,0.243
BXCB10,13,0.787
BXCB10,12,0.155
BXCB10,18,0.059
BXCB11,13,0.884
BXCB11,12,0.092
BXCB11,15,0.024
BXCB12,12,0.606
BXCB12,11,0.358
BXCB12,13,0.037
BXCB2,17,1.0
BXCB3,17,0.534
BXCB3,15,0.26
BXCB3,16,0.206
BXCB4,16,0.876
BXCB4,8,0.073
BXCB4,15,0.037
BXCB5,14,0.674
BXCB5,15,0.226
BXCB5,16,0.101
BXCB6,15,0.992
BXCB7,11,0.487
BXCB7,14,0.365
BXCB7,15,0.135
BXCB8,11,0.89
BXCB8,14,0.078
BXCB8,10,0.032
BXCB9,18,0.876
BXCB9,17,0.121
MCB1,1,1.0
MCB10,9,1.0
MCB11,8,0.85
MCB11,9,0.15
MCB12,10,0.945
MCB12,7,0.055
MCB2,3,0.446
MCB2,2,0.281
MCB2,1,0.273
MCB3,1,0.506
MCB3,2,0.494
MCB4,3,0.897
MCB4,6,0.103
MCB5,4,0.465
MCB5,3,0.348
MCB5,2,0.132
MCB5,6,0.056
MCB6,4,0.758
MCB6,2,0.226
MCB6,5,0.016
MCB7,6,0.693
MCB7,7,0.307
MCB8,5,0.672
MCB8,4,0.31
MCB8,8,0.018
MCB9,7,0.827
MCB9,9,0.173
QCB1,22,0.808
QCB1,26,0.171
QCB1,25,0.021
QCB10,32,0.508
QCB10,28,0.447
QCB10,29,0.027
QCB10,31,0.018
QCB11,19,0.489
QCB11,23,0.414
QCB11,20,0.097
QCB12,27,0.528
QCB12,28,0.367
QCB12,23,0.058
QCB12,31,0.027
QCB12,24,0.02
QCB13,31,0.419
QCB13,23,0.382
QCB13,27,0.199
QCB14,31,0.554
QCB14,32,0.446
QCB2,26,0.985
QCB2,25,0.015
QCB3,21,0.504
QCB3,25,0.378
QCB3,22,0.118
QCB4,25,0.405
QCB4,21,0.401
QCB4,30,0.19
QCB5,30,0.663
QCB5,32,0.24
QCB5,34,0.093
QCB6,29,0.628
QCB6,30,0.203
QCB6,24,0.135
QCB6,32,0.034
QCB7,19,0.632
QCB7,20,0.355
QCB7,21,0.013
QCB8,24,0.725
QCB8,23,0.263
QCB8,20,0.012
QCB9,29,0.648
QCB9,32,0.352
SICB1,49,0.847
SICB1,50,0.153
SICB2,50,0.83
SICB2,51,0.159
SICB2,49,0.011
SICB3,51,0.901
SICB3,50,0.099
