council_district,name,leadership,salutation,email,url,source,as_of
1,Christopher Marte,,Council Member Christopher Marte,District1@council.nyc.gov,https://council.nyc.gov/district-1/,https://council.nyc.gov/districts/,2026-09-25
2,Harvey Epstein,,Council Member Harvey Epstein,Harvey@council.nyc.gov,https://council.nyc.gov/district-2/,https://council.nyc.gov/districts/,2026-09-25
3,Carl Wilson,,Council Member Carl Wilson,District3@council.nyc.gov,https://council.nyc.gov/district-3/,https://council.nyc.gov/districts/,2026-09-25
4,Virginia Maloney,,Council Member Virginia Maloney,District4@council.nyc.gov,https://council.nyc.gov/district-4/,https://council.nyc.gov/districts/,2026-09-25
5,Julie Menin,Speaker,Speaker Julie Menin,SpeakerMenin@council.nyc.gov,https://council.nyc.gov/district-5/,https://council.nyc.gov/districts/,2026-09-25
6,Gale A. Brewer,,Council Member Gale A. Brewer,District6@council.nyc.gov,https://council.nyc.gov/district-6/,https://council.nyc.gov/districts/,2026-09-25
7,Shaun Abreu,Majority Leader,Council Member Shaun Abreu,District7@council.nyc.gov,https://council.nyc.gov/district-7/,https://council.nyc.gov/districts/,2026-09-25
8,Elsie Encarnacion,,Council Member Elsie Encarnacion,District8@council.nyc.gov,https://council.nyc.gov/district-8/,https://council.nyc.gov/districts/,2026-09-25
9,Yusef Salaam,,Council Member Yusef Salaam,district9@council.nyc.gov,https://council.nyc.gov/district-9/,https://council.nyc.gov/districts/,2026-09-25
10,Carmen De La Rosa,,Council Member Carmen De La Rosa,District10@council.nyc.gov,https://council.nyc.gov/district-10/,https://council.nyc.gov/districts/,2026-09-25
11,Eric Dinowitz,,Council Member Eric Dinowitz,dinowitz@council.nyc.gov,https://council.nyc.gov/district-11/,https://council.nyc.gov/districts/,2026-09-25
12,Kevin C. Riley,,Council Member Kevin C. Riley,District12@council.nyc.gov,https://council.nyc.gov/district-12/,https://council.nyc.gov/districts/,2026-09-25
13,Shirley Aldebol,,Council Member Shirley Aldebol,District13@council.nyc.gov,https://council.nyc.gov/district-13/,https://council.nyc.gov/districts/,2026-09-25
14,Pierina Ana Sanchez,,Council Member Pierina Ana Sanchez,District14@council.nyc.gov,https://council.nyc.gov/district-14/,https://council.nyc.gov/districts/,2026-09-25
15,Oswald Feliz,,Council Member Oswald Feliz,District15@council.nyc.gov,https://council.nyc.gov/district-15/,https://council.nyc.gov/districts/,2026-09-25
16,Althea Stevens,,Council Member Althea Stevens,District16@council.nyc.gov,https://council.nyc.gov/district-16/,https://council.nyc.gov/districts/,2026-09-25
17,Justin Sanchez,,Council Member Justin Sanchez,District17@council.nyc.gov,https://council.nyc.gov/district-17/,https://council.nyc.gov/districts/,2026-09-25
18,Amanda Farías,,Council Member Amanda Farías,District18@council.nyc.gov,https://council.nyc.gov/district-18/,https://council.nyc.gov/districts/,2026-09-25
19,Vickie Paladino,,Council Member Vickie Paladino,District19@council.nyc.gov,https://council.nyc.gov/district-19/,https://council.nyc.gov/districts/,2026-09-25
20,Sandra Ung,,Council Member Sandra Ung,district20@council.nyc.gov,https://council.nyc.gov/district-20/,https://council.nyc.gov/districts/,2026-09-25
21,Shanel Thomas-Henry,,Council Member Shanel Thomas-Henry,District21@council.nyc.gov,https://council.nyc.gov/district-21/,https://council.nyc.gov/districts/,2026-09-25
22,Tiffany Cabán,,Council Member Tiffany Cabán,District22@council.nyc.gov,https://council.nyc.gov/district-22/,https://council.nyc.gov/districts/,2026-09-25
23,Linda Lee,,Council Member Linda Lee,District23@council.nyc.gov,https://council.nyc.gov/district-23/,https://council.nyc.gov/districts/,2026-09-25
24,James F. Gennaro,,Council Member James F. Gennaro,District24@council.nyc.gov,https://council.nyc.gov/district-24/,https://council.nyc.gov/districts/,2026-09-25
25,Shekar Krishnan,,Council Member Shekar Krishnan,District25@council.nyc.gov,https://council.nyc.gov/district-25/,https://council.nyc.gov/districts/,2026-09-25
26,Julie Won,,Council Member Julie Won,district26@council.nyc.gov,https://council.nyc.gov/district-26/,https://council.nyc.gov/districts/,2026-09-25
27,Dr. Nantasha Williams,Deputy Speaker,Council Member Nantasha Williams,District27@council.nyc.gov,https://council.nyc.gov/district-27/,https://council.nyc.gov/districts/,2026-09-25
28,Ty Hankerson,,Council Member Ty Hankerson,District28@council.nyc.gov,https://council.nyc.gov/district-28/,https://council.nyc.gov/districts/,2026-09-25
29,Lynn Schulman,,Council Member Lynn Schulman,District29@council.nyc.gov,https://council.nyc.gov/district-29/,https://council.nyc.gov/districts/,2026-09-25
30,Phil Wong,,Council Member Phil Wong,District30@council.nyc.gov,https://council.nyc.gov/district-30/,https://council.nyc.gov/districts/,2026-09-25
31,Selvena N. Brooks-Powers,,Council Member Selvena N. Brooks-Powers,District31@council.nyc.gov,https://council.nyc.gov/district-31/,https://council.nyc.gov/districts/,2026-09-25
32,Joann Ariola,,Council Member Joann Ariola,District32@council.nyc.gov,https://council.nyc.gov/district-32/,https://council.nyc.gov/districts/,2026-09-25
33,Lincoln Restler,,Council Member Lincoln Restler,District33@council.nyc.gov,https://council.nyc.gov/district-33/,https://council.nyc.gov/districts/,2026-09-25
34,Jennifer Gutiérrez,,Council Member Jennifer Gutiérrez,District34@council.nyc.gov,https://council.nyc.gov/district-34/,https://council.nyc.gov/districts/,2026-09-25
35,Crystal Hudson,,Council Member Crystal Hudson,District35@council.nyc.gov,https://council.nyc.gov/district-35/,https://council.nyc.gov/districts/,2026-09-25
36,Chi Ossé,,Council Member Chi Ossé,District36@council.nyc.gov,https://council.nyc.gov/district-36/,https://council.nyc.gov/districts/,2026-09-25
37,Sandy Nurse,,Council Member Sandy Nurse,District37@council.nyc.gov,https://council.nyc.gov/district-37/,https://council.nyc.gov/districts/,2026-09-25
38,Alexa Avilés,,Council Member Alexa Avilés,District38@council.nyc.gov,https://council.nyc.gov/district-38/,https://council.nyc.gov/districts/,2026-09-25
39,Shahana Hanif,,Council Member Shahana Hanif,District39@council.nyc.gov,https://council.nyc.gov/district-39/,https://council.nyc.gov/districts/,2026-09-25
40,Rita C. Joseph,,Council Member Rita C. Joseph,District40@council.nyc.gov,https://council.nyc.gov/district-40/,https://council.nyc.gov/districts/,2026-09-25
41,Darlene Mealy,,Council Member Darlene Mealy,District41@council.nyc.gov,https://council.nyc.gov/district-41/,https://council.nyc.gov/districts/,2026-09-25
42,Chris Banks,,Council Member Chris Banks,District42@council.nyc.gov,https://council.nyc.gov/district-42/,https://council.nyc.gov/districts/,2026-09-25
43,Susan Zhuang,,Council Member Susan Zhuang,District43@council.nyc.gov,https://council.nyc.gov/district-43/,https://council.nyc.gov/districts/,2026-09-25
