label_id,council_districts,method,matched
17d7f6eaf083,1,park,Battery Park City
681f598d8341,1,park,Bowling Green
261d93165ef5,1,park,Battery Park City
66e0c201dd0c,1,park,The Battery
a58783023445,1,park,The Battery
feeaf0650876,1,park,Peck Slip
e2d3f4a7360c,1,park,The Battery
ce5d61ef6b99,1,park,Battery Park City
f3225dd87d41,1,park,Battery Park City
b8ca5208b1da,1,park,The Battery
0e55b563983d,3,park,Jefferson Market Garden
3816d77f7cb9,3,park,Tony Dapolito Recreation Center
80e0be00dc07,1,park,Vesuvio Playground
4f11aa5e8349,1,park,Mercer Playground
3aaec988e0f7,2,park,Washington Square Park
e425a4670bbb,3,park,Tony Dapolito Recreation Center
3ac96c294928,3,park,Jefferson Market Garden
089cd22cbd0a,2,park,Washington Square Park
ef28ce95e7a2,1,park,Playground of the Americas
b91d5cb5eac8,1,park,Seward Park
2198ed41f590,1,park,Seward Park
4b9f5c6626bd,1,park,Pier 42
eba2aa724365,1,park,Columbus Park
7bcfd6bd1c59,1,park,Seward Park
7466c5648348,2,park,Dry Dock Playground
54da1344538b,1,park,Columbus Park
7a77f4170655,1,park,Tanahey Playground
f148b9da31c1,2,park,Tompkins Square Park
9941e8ba5c3b,1,park,Sidney Hillman Playground
93558d6e4c12,1,park,Columbus Park
6d2f221cdbc3,1,park,Seward Park
07f89ce8aadb,2,park,Tompkins Square Park
059ff1e2178c,1,park,Little Flower Playground
4a7b74c21e34,2,park,Baruch Playground
92fb30fbc6d6,1,park,Corlears Hook Park
51caa1e2fff2,1,park,ABC Playground
409922bf4932,1,park,Sara D. Roosevelt Park
347b121c0c56,1,park,Columbus Park
33152c43c736,3,park,Chelsea Park
8c20e3ca2378,3,park,Chelsea Park
6f606c499ad1,4,park,Bryant Park
10a552b85612,3,park,Madison Square Park
9c7a43308308,4,park,Herald Square
61c4a7081013,4,park,Peter Detmold Park
accb5daf8437,2,park,Bellevue South Park
057956d06ea1,2,park,Stuyvesant Square
4bef64db225c,4,park,Sutton Place Park
811bebae835f,4,park,East River Esplanade
eb6554572dc5,4,park,East River Esplanade
1053a86aa18d,4,park,Dag Hammarskjold Plaza
70acb367bc67,2,park,Bellevue South Park
5258e3c78a06,6|7,park,Riverside Park
377bb23cd62f,6|7,park,Riverside Park
85c54f18dc0b,6|7,park,Riverside Park
6e100087a134,6|7,park,Riverside Park
b011bec0fd33,6,park,Gertrude Ederle Recreation Center
676af1946435,7,park,Happy Warrior Playground
7a7076325e4b,6,park,Central Park
9896e4ec3d5b,6,park,Central Park
5fd3f5fb0a8d,6,park,Riverside Park South
398d833f4cc1,6|7,park,Riverside Park
0d19e596cac3,6,park,Theodore Roosevelt Park
db5d1d72d7c3,6|7,park,Riverside Park
09c7f9b9f199,6,park,Broadway Malls
4acb76ba2726,6,park,Riverside Park South
9f26c7bbd847,7,park,Frederick Douglass Playground
0b869bdf51f3,6,park,Gertrude Ederle Recreation Center
adb59bdc37f5,5,park,John Jay Park
7d91597692fa,5,park,Queensboro Oval
a11090172e03,5,park,Andrew Haswell Green Park
6e9a05ff4063,7,park,Morningside Park
c7b6a14ae9cc,7,park,Alexander Hamilton Playground
6ad0e88df74a,9,park,St. Nicholas Park
a86bdcca1c2b,7,park,Morningside Park
f90483db092c,7,park,West Harlem Piers
6f7ccefd9679,9,park,St. Nicholas Park
01b42fb44824,9,park,St. Nicholas Park
024baeb7c62a,7,park,Morningside Park
37bfcd4a00af,7,park,Riverside Park
078e83bae2c1,7,park,Morningside Park
357dfbd32a62,9,park,St. Nicholas Playground South
fc7998ced4b9,9,park,Jackie Robinson Park
b465c72af5fd,9,park,William McCray Playground
78365e9933f0,9,park,Fred Samuel Playground
0340f5fd9324,9,park,Frederick Johnson Playground
2f14db685233,9,park,Hansborough Recreation Center
53658a111fad,9,park,Hansborough Recreation Center
85778482dcdf,9,park,Frederick Johnson Playground
27fccaa5f60d,9,park,Samuel Marx Triangle
3edb5ce5d330,8,park,Thomas Jefferson Park
28e8414873aa,9,park,Marcus Garvey Park
3cbe0b323d0f,8,park,Harlem River Park
9ec94f6b46a5,8,park,Thomas Jefferson Park
d3f9b19f8d76,9,park,Marcus Garvey Park
a8f4e8a2e0cc,10,park,J. Hood Wright Park
e56ab6a5eb31,10,park,Audubon Playground
3ece78935152,10,park,Inwood Hill Park
7c49bd86a49c,10,park,Sherman Creek
e525d3c4e494,8,park,St. Mary's Park
53fa12e86de1,8,park,Pulaski Park
4e66fc0b8bff,8,park,St. Mary's Park
e1de7626b231,8,park,St. Mary's Park
712caef06e14,17,park,Printers Park
6db0854be03c,15,park,Crotona Park
b81f54f41423,16,park,Railroad Park
f95f0ca7e3e2,15,park,Crotona Park
276b68369a26,16,park,Drew Playground
b64a11011b88,15,park,Crotona Park
64a20cb4bc1d,16,park,Railroad Park
a2f88870f154,17,park,Eae J Mitchell Park
dbaeed85b209,17,park,Charlton-Thompson Garden
f222a6c72819,15,park,Crotona Park
ede99cf61f22,15,park,Crotona Park
e4e84391f9b4,15,park,Crotona Park
aaa3b41567c4,15,park,Crotona Park
8fc359ba0267,15,park,Crotona Park
be073e8acf43,16,park,Morgan Playground
363e086411c3,17,park,Behagen Playground
8064ef2d78fd,15,park,Crotona Park
a33933ad86ba,15,park,Crotona Park
f8377ceb18f3,15,park,Crotona Park
315e89163bcb,15,park,Crotona Park
8fb1c95a0fd8,15,park,Crotona Park
a6eec610d308,17,park,Estella Diggs Park
c36d6e76e891,15,park,Crotona Park
bf3c3ff6052d,15,park,Crotona Park
89f5a3765422,15,park,Crotona Park
3ff68ee7abb6,15,park,Crotona Park
4e53903bba77,15,park,Crotona Park
f2816785ec0b,16,park,Grant Park
98a32017bddc,8,park,Mill Pond Park
402a89c9f563,16,park,Claremont Park
9ac757d47792,16,park,Macombs Dam Park
7f872bc935bb,16,park,Merriam Playground
34ef7c324211,16,park,Claremont Park
887a7842eb8d,14,park,University Woods
6a198533615f,14,park,Aqueduct Walk
1f069315455d,14,park,University Woods
fe2ce63e5f3b,14,park,Galileo Playground
f36ac0306273,15,park,Fairmount Playground
14c511393455,11,park,Williamsbridge Oval
7e4fbe68d602,14,park,St. James Park
e803846d3366,11,park,Williamsbridge Oval
3ee64e66acb1,11,park,Mosholu Parkway
aecc0d08a345,14,park,Devoe Park
f3773aca4d10,14,park,Devoe Park
655527b4c12d,14,park,Devoe Park
049af85fa8f0,14,park,Devoe Park
5bfb21303940,11,park,Mosholu Parkway
1778eb723845,11,park,Mosholu Parkway
46a909f12442,11,park,Mosholu Parkway
5ca90051249d,11,park,Williamsbridge Oval
40dc29346723,11,park,Mosholu Parkway
2841b42f86e7,11,park,Van Cortlandt Park
68fceca0d8d2,11,park,Van Cortlandt Park
374a41c4254e,11,park,Ewen Park
10dfeb8b218d,11,park,Van Cortlandt Park
11a4e9e9f18f,11,park,Van Cortlandt Park
443ce66a5f8a,11,park,Van Cortlandt Park
745b365bffb5,11,park,Van Cortlandt Park
a3928daf45e0,11,park,Van Cortlandt Park
691bcb110a5e,14,park,Kingsbridge Heights Community Center
880fa1d0eeb2,17|18,park,Bronx River Parkway
7fc52d96c138,18,park,Soundview Park
d76415b4982b,18,park,Pugsley Creek Park
8beba90e5dd9,18,park,Pugsley Creek Park
c67df7bdd004,18,park,Harding Park
953ea6c328ef,18,park,Soundview Park
d975e88c1d4b,18,park,Pugsley Creek Park
3d18017a0eaa,18,park,Harding Park
74d3505d6ecb,13,park,Pelham Bay Park
673cc590bd1e,13,park,Bufano Park
29d0acca8956,13,park,Bruckner Playground
15f32e1decf6,13,park,Ferry Point Park
01748007eaed,13,park,Ferry Point Park
8fc82fe683a8,13,park,Bufano Park
67b726fe5223,13,park,Pelham Bay Park
102c2c9ea016,13|15,park,Pelham Parkway
5fac1a876056,12|13|15,park,Bronx River Parkway
5983784a9b3c,13|15,park,Pelham Parkway
122c975e6402,13|15,park,Pelham Parkway
687d384898f8,13|15,park,Pelham Parkway
d82e22972250,13,park,Matthews Muliner Playground
22c50de7461c,13,park,Mazzei Playground
ffc991aa7ed7,12,park,Parkside Playground
b5d43bfac177,15,park,Bronx Park
f0d1e278365d,15,park,Bronx Park
2775b85aabaa,12,park,Eastchester Playground
6851ee9bc3b8,13|15,park,Pelham Parkway
60002f6a1940,13,park,Van Nest Park
9ea568566b80,13|15,park,Pelham Parkway
3cc72d3ba0ff,12,park,Seton Falls Park
d28905c680b3,33,park,Bushwick Inlet Park
dc2acb233168,33,park,McCarren Park
40345b4862a0,33,park,WNYC Transmitter Park
a49360743c2b,34,park,Cooper Park
5f6931ceceac,33,park,McCarren Park
f0c7b968b0b2,33,park,WNYC Transmitter Park
d5db7c33a90a,33,park,McCarren Park
9eb80b5164e8,34,park,Memorial Gore
bfa15c9a49b3,35,park,Commodore Barry Park
f04246e77896,35,park,Fort Greene Park
9ba90bd49191,33,park,Cadman Plaza Park
e45bb4712c7c,35,park,Fort Greene Park
db45f73cd1f6,35,park,Oracle Playground
cfd832823740,35,park,Crispus Attucks Playground
362a0012b043,36,park,Charlie's Place
57b5b6ce7017,36,park,El Shabazz Playground
0824050eca20,36,park,Kosciuszko Pool
fc5ffe73dad8,34,park,Maria Hernandez Park
aacd52803e7c,37,park,Irving Square Park
50a74739f22d,34,park,Maria Hernandez Park
88b928cf6948,43,park,Rainbow Playground
6bbc8b4ca33d,38,park,Sunset Park
db08dcbabddc,38,park,D'Emic Playground
470c661b7793,38,park,Martin Luther Playground
8267d5608b34,38,park,Sunset Park
70407109711d,39,park,Prospect Park
3731861ad4cf,39,park,Bartel-Pritchard Square
cb0e07d34e6f,38,park,Sunset Park
294c3189f678,38,park,Sunset Park
7533bb7319e5,38,park,Sunset Park
b8769232bf07,38,park,Sunset Park
4e54721d2e61,36,park,Brower Park
fc6b0fd29a1e,36,park,Brower Park
d9ab2392bf23,40,park,Wingate Park
9b9dd10f1b4a,35,park,Mount Prospect Park
e6b29f205948,38,park,McKinley Park
88c9377fcb31,38,park,McKinley Park
149e02b8f27b,50,park,Dyker Beach Park
8be1e35be26c,50,park,Dyker Beach Park
392a3eec89fe,38,park,Leif Ericson Park
dd3716fe1b21,38,park,Leif Ericson Park
a9caa84b0861,50,park,Dyker Beach Park
9ea52934d0d0,50,park,Dyker Beach Park
fa848550fa39,38,park,Leif Ericson Park
b477cfb0833f,47,park,Bensonhurst Park
cf9305dff3f0,47,park,Bensonhurst Park
8e1c6531038c,47,park,Bath Beach Park
517e49537dea,47,park,Bath Beach Park
74054882d817,47,park,Bath Playground
e7a1ab2dae1f,44,park,Friends Field
28dad3f5f24e,39|40|43|44,park,Ocean Parkway Malls
5cea94c8de59,47,park,Kaiser Park
3e2698775879,47,park,Kaiser Park
ced98495ff00,47|48,park,Asser Levy Park
fb29cc9b024e,47|48,park,Asser Levy Park
ef118d853197,47|48,park,Asser Levy Park
1a3b02f07f32,40,park,Umma Park
fef0d512112c,48,park,Manhattan Beach Park
f46cab6cfc59,48,park,Manhattan Beach Park
dd9db4eff6b5,37,park,Houston Playground
019f25d3d1a7,42,park,Osborn Playground
f0b003a205ac,41,park,Betsy Head Park
d7c4e4df1090,41,park,Chester Playground
1fd6a52cfd36,41,park,Nehemiah Park
1d1728bf60af,42,park,Livonia Park
38ef6e4438d7,41,park,Fish Playground
c5803d0f0bc0,41,park,P.S. 125 Playground
e75b25aef3e5,41,park,Betsy Head Park
92f47048a57d,45,park,Paerdegat Park
99108758f017,22,park,Socrates Sculpture Park
ff97eb0fc5ef,22,park,Woodtree Playground
8a7a8c4604ca,22,park,Whitey Ford Field
0d7fa887d458,22,park,Ditmars Playground
0613946ad9e2,22,park,Rainey Park
16cb4452d318,22,park,Astoria Park
f4c2b1a05655,26,park,Dutch Kills Playground
eb2b505d3cf6,22,park,Astoria Park
4cfef8b80f3f,22,park,Whitey Ford Field
45c55bcb3a97,26,park,Sixteen Oaks Grove
5dfc6d83f996,22,park,Astoria Park
cf54a89c668b,22,park,Astoria Park
3e2dc4f10c6e,22,park,Astoria Park
72487e7c8ecc,22,park,Sean's Place
8fc3853ae6e9,22,park,Astoria Park
e65124ab6581,22,park,Astoria Park
03351b0ac235,22,park,Astoria Park
